DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6020;P6040;DPTO;AREA;FEX_C
4725;1;2;1;10;2;36;85;85;36,9151451415398
4725;1;3;1;10;1;15;85;85;36,9151451415398
4725;1;4;1;10;1;13;85;85;36,9151451415398
4725;1;5;1;10;2;11;85;85;36,9151451415398
4725;1;6;1;10;2;18;85;85;36,9151451415398
4729;1;1;1;10;2;52;97;97;2,64045360761044
4729;1;2;1;10;1;28;97;97;2,64045360761044
4767;1;1;1;10;1;49;91;91;7,15574188356919
4771;1;1;1;10;1;0;91;91;6,17116338320254
4771;1;2;1;10;2;18;91;91;6,17116338320254
4771;1;3;1;10;2;0;91;91;6,17116338320254
4771;1;4;1;10;1;0;91;91;6,17116338320254
4798;1;1;1;10;1;37;91;91;6,87113517669384
4798;1;2;1;10;2;42;91;91;6,87113517669384
4798;1;3;1;10;1;9;91;91;6,87113517669384
4846;1;1;1;10;2;47;94;94;2,04019379239413
4846;1;2;1;10;2;28;94;94;2,04019379239413
4846;1;3;1;10;2;7;94;94;2,04019379239413
4846;1;4;1;10;1;18;94;94;2,04019379239413
4846;1;5;1;10;1;69;94;94;2,04019379239413
4872;1;1;1;10;1;64;94;94;2,02334816374407
4872;1;2;1;10;2;27;94;94;2,02334816374407
4890;1;1;1;10;2;27;94;94;2,0750953695052
4890;1;2;1;10;1;0;94;94;2,0750953695052
4890;1;3;1;10;1;40;94;94;2,0750953695052
4904;1;1;1;10;1;59;91;91;4,39407770348479
4904;1;2;1;10;2;61;91;91;4,39407770348479
4904;1;3;1;10;2;22;91;91;4,39407770348479
4904;1;4;1;10;1;0;91;91;4,39407770348479
4906;1;1;1;10;2;29;91;91;6,58042721764534
4906;1;2;1;10;1;29;91;91;6,58042721764534
4906;1;3;1;10;2;13;91;91;6,58042721764534
4906;1;4;1;10;2;8;91;91;6,58042721764534
4921;1;1;1;10;1;54;91;91;8,27497330638386
4932;1;1;1;10;2;41;91;91;7,41328859130897
4932;1;2;1;10;1;17;91;91;7,41328859130897
4932;1;3;1;10;2;14;91;91;7,41328859130897
4940;1;1;1;10;1;51;94;94;3,76867596268317
4940;1;2;1;10;1;15;94;94;3,76867596268317
4940;1;3;1;10;2;13;94;94;3,76867596268317
4941;1;1;1;10;1;54;97;97;2,1730585450172
4941;1;2;1;10;2;38;97;97;2,1730585450172
4941;1;3;1;10;1;21;97;97;2,1730585450172
4941;1;4;1;10;2;33;97;97;2,1730585450172
4941;1;5;1;10;1;8;97;97;2,1730585450172
4941;1;6;1;10;2;14;97;97;2,1730585450172
4952;1;1;1;10;1;68;94;94;3,08400209389677
4952;1;2;1;10;2;58;94;94;3,08400209389677
4968;1;1;1;10;2;50;85;85;19,4311987217161
4975;1;1;1;10;2;52;85;85;19,4311987217161
4978;1;1;1;10;1;29;91;91;8,13962472483447
4978;1;2;1;10;2;46;91;91;8,13962472483447
4978;1;3;1;10;1;20;91;91;8,13962472483447
4978;1;4;1;10;1;16;91;91;8,13962472483447
4979;1;1;1;10;2;45;97;97;1,58966084554411
4984;1;1;1;10;2;0;91;91;6,74333298771225
4984;1;2;1;10;2;14;91;91;6,74333298771225
4998;1;1;1;10;1;46;94;94;1,66529338327078
4998;1;2;1;10;2;54;94;94;1,66529338327078
4998;1;3;1;10;2;18;94;94;1,66529338327078
5001;1;1;1;10;2;65;91;91;7,97246413449643
5001;1;2;1;10;2;44;91;91;7,97246413449643
5001;1;3;1;10;1;15;91;91;7,97246413449643
5001;1;4;1;10;1;9;91;91;7,97246413449643
5026;1;1;1;10;2;23;94;94;4,33417215338944
5026;1;2;1;10;1;22;94;94;4,33417215338944
5032;1;1;1;10;1;65;91;91;4,67286208721731
5034;1;1;1;10;1;29;91;91;6,18981312996231
5034;1;2;1;10;2;24;91;91;6,18981312996231
5034;1;3;1;10;2;7;91;91;6,18981312996231
5040;1;1;1;10;2;57;94;94;2,8832656958164
5051;1;1;1;10;2;48;91;91;5,98560503145027
5051;1;2;1;10;1;43;91;91;5,98560503145027
5051;1;3;1;10;2;14;91;91;5,98560503145027
5051;1;4;1;10;1;5;91;91;5,98560503145027
5059;1;1;1;10;1;48;91;91;6,56380836319789
5059;1;2;1;10;2;50;91;91;6,56380836319789
5059;1;3;1;10;2;29;91;91;6,56380836319789
5059;1;4;1;10;1;24;91;91;6,56380836319789
5059;1;5;1;10;2;12;91;91;6,56380836319789
5059;1;6;1;10;2;9;91;91;6,56380836319789
5059;1;7;1;10;1;7;91;91;6,56380836319789
5059;1;8;1;10;1;4;91;91;6,56380836319789
5081;1;1;1;10;1;0;91;91;6,77663808568771
5081;1;2;1;10;2;57;91;91;6,77663808568771
5081;1;3;1;10;2;15;91;91;6,77663808568771
5106;1;1;1;10;2;59;94;94;2,8832656958164
5108;1;1;1;10;2;47;91;91;7,49216685507685
5108;1;2;1;10;2;30;91;91;7,49216685507685
5108;1;3;1;10;1;12;91;91;7,49216685507685
5119;1;1;1;10;1;45;94;94;1,91508739076139
5119;1;2;1;10;2;33;94;94;1,91508739076139
5138;1;1;1;10;1;0;91;91;5,92777720177922
5138;1;2;1;10;1;62;91;91;5,92777720177922
5149;1;1;1;10;2;67;91;91;7,48092157121654
5149;1;2;1;10;1;47;91;91;7,48092157121654
5153;1;1;1;10;1;72;94;94;4,48404644308587
5153;1;2;1;10;1;56;94;94;4,48404644308587
5153;1;3;1;10;1;25;94;94;4,48404644308587
5157;1;1;1;10;2;49;94;94;1,91508739076139
5157;1;2;1;10;1;47;94;94;1,91508739076139
5157;1;3;1;10;1;32;94;94;1,91508739076139
5157;1;4;1;10;2;19;94;94;1,91508739076139
5166;1;1;1;10;2;55;91;91;6,69797633095473
5166;1;2;1;10;2;20;91;91;6,69797633095473
5166;1;3;1;10;2;0;91;91;6,69797633095473
5166;1;4;1;10;1;1;91;91;6,69797633095473
5181;1;1;1;10;1;40;94;94;1,24897003745308
5181;1;2;1;10;2;44;94;94;1,24897003745308
5181;1;3;1;10;2;14;94;94;1,24897003745308
5183;1;1;1;10;1;25;91;91;8,67310182316789
5183;1;2;1;10;1;21;91;91;8,67310182316789
5183;1;3;1;10;2;4;91;91;8,67310182316789
5192;1;1;1;10;2;54;94;94;1,54872284644182
5192;1;2;1;10;2;22;94;94;1,54872284644182
5192;1;3;1;10;2;19;94;94;1,54872284644182
5192;1;4;1;10;1;16;94;94;1,54872284644182
5199;1;1;1;10;2;20;94;94;2,14871999169823
5199;1;2;1;10;2;45;94;94;2,14871999169823
5199;1;3;1;10;2;23;94;94;2,14871999169823
5199;1;4;1;10;2;1;94;94;2,14871999169823
5199;1;5;1;10;1;11;94;94;2,14871999169823
5225;1;1;1;10;2;41;94;94;1,75285676056255
5225;1;2;1;10;1;15;94;94;1,75285676056255
5225;1;3;1;10;2;13;94;94;1,75285676056255
5236;1;1;1;10;1;52;94;94;2,71201866922649
5236;1;2;1;10;2;53;94;94;2,71201866922649
5236;1;3;1;10;1;25;94;94;2,71201866922649
5236;1;4;1;10;1;24;94;94;2,71201866922649
5236;1;5;1;10;1;62;94;94;2,71201866922649
5237;1;1;1;10;2;30;94;94;3,81678420471448
5237;1;2;1;10;2;8;94;94;3,81678420471448
5237;1;3;1;10;1;4;94;94;3,81678420471448
5237;1;4;1;10;2;48;94;94;3,81678420471448
5237;1;5;1;10;1;35;94;94;3,81678420471448
5237;1;6;1;10;1;16;94;94;3,81678420471448
5237;1;7;1;10;1;11;94;94;3,81678420471448
5251;1;1;1;10;1;83;94;94;2,86796441640006
5251;1;2;1;10;2;73;94;94;2,86796441640006
5251;1;3;1;10;1;26;94;94;2,86796441640006
5266;1;1;1;10;2;75;91;91;5,99259395272806
5266;1;2;1;10;2;20;91;91;5,99259395272806
5266;1;3;1;10;1;31;91;91;5,99259395272806
5266;1;4;1;10;2;2;91;91;5,99259395272806
5272;1;1;1;10;1;19;94;94;4,73302568810276
5272;1;2;1;10;2;22;94;94;4,73302568810276
5272;1;3;1;10;1;0;94;94;4,73302568810276
5278;1;1;1;10;1;69;94;94;1,31449311031894
5278;1;2;1;10;2;70;94;94;1,31449311031894
5278;1;3;1;10;1;30;94;94;1,31449311031894
5278;1;4;1;10;2;33;94;94;1,31449311031894
5278;1;5;1;10;2;4;94;94;1,31449311031894
5278;1;7;1;10;2;14;94;94;1,31449311031894
5286;1;1;1;10;2;54;91;91;6,42653362135385
5292;1;1;1;10;1;41;85;85;25,8460614032006
5292;1;2;1;10;2;43;85;85;25,8460614032006
5292;1;3;1;10;2;18;85;85;25,8460614032006
5292;1;4;1;10;1;15;85;85;25,8460614032006
5295;1;1;1;10;1;32;94;94;3,14697436966648
5295;1;2;1;10;2;21;94;94;3,14697436966648
5295;1;3;1;10;1;0;94;94;3,14697436966648
5302;1;1;1;10;2;40;91;91;5,86355463237092
5302;1;2;1;10;2;15;91;91;5,86355463237092
5303;1;1;1;10;1;32;94;94;3,82123683998293
5303;1;2;1;10;2;27;94;94;3,82123683998293
5303;1;3;1;10;1;7;94;94;3,82123683998293
5303;1;4;1;10;1;5;94;94;3,82123683998293
5303;1;5;1;10;2;3;94;94;3,82123683998293
5313;1;1;1;10;1;52;91;91;6,74684234736524
5317;1;1;1;10;1;54;94;94;3,91018157651395
5317;1;2;1;10;2;57;94;94;3,91018157651395
5317;1;3;1;10;1;15;94;94;3,91018157651395
5323;1;1;1;10;2;39;91;91;7,57647485813393
5323;1;2;1;10;1;17;91;91;7,57647485813393
5323;1;3;1;10;2;11;91;91;7,57647485813393
5323;1;4;1;10;1;1;91;91;7,57647485813393
5332;1;1;1;10;2;51;94;94;1,66529338327078
5332;1;2;1;10;1;28;94;94;1,66529338327078
5334;1;1;1;10;1;55;91;91;4,67286208721731
5350;1;1;1;10;1;47;91;91;6,64572629060992
5350;1;2;1;10;2;4;91;91;6,64572629060992
5350;1;3;1;10;1;1;91;91;6,64572629060992
5350;1;4;1;10;2;67;91;91;6,64572629060992
5357;1;1;1;10;1;51;94;94;2,88307089951261
5357;1;2;1;10;2;64;94;94;2,88307089951261
5434;1;1;1;10;1;46;91;91;6,34836897275029
5434;1;2;1;10;2;37;91;91;6,34836897275029
5434;1;3;1;10;2;19;91;91;6,34836897275029
5434;1;4;1;10;1;7;91;91;6,34836897275029
5522;1;1;1;10;1;57;91;91;5,68975561051693
5522;1;2;1;10;1;45;91;91;5,68975561051693
5524;1;1;1;10;1;33;91;91;7,15574188356919
5526;1;1;1;10;1;74;91;91;4,50150923121185
5526;1;2;1;10;2;43;91;91;4,50150923121185
5544;1;1;1;10;2;49;85;85;33,1220098430535
5544;1;2;1;10;1;14;85;85;33,1220098430535
5544;1;3;1;10;1;25;85;85;33,1220098430535
5544;1;4;1;10;2;19;85;85;33,1220098430535
5544;1;5;1;10;2;1;85;85;33,1220098430535
5581;1;1;1;10;1;52;85;85;37,1474414309781
5581;1;2;1;10;1;45;85;85;37,1474414309781
5581;1;3;1;10;2;16;85;85;37,1474414309781
5598;1;1;1;10;1;57;85;85;27,5439725723638
5604;1;1;1;10;1;71;85;85;24,697169911641
5604;1;2;1;10;2;83;85;85;24,697169911641
5640;1;1;1;10;2;37;99;99;1,89549502356952
5640;1;2;1;10;2;20;99;99;1,89549502356952
5640;1;3;1;10;2;32;99;99;1,89549502356952
5640;2;1;2;10;1;22;99;99;1,89549502356952
5659;1;1;1;10;2;46;99;99;3,44858718169985
5659;1;2;1;10;1;15;99;99;3,44858718169985
5665;1;1;1;10;2;38;81;81;7,59043141597366
5665;1;2;1;10;1;31;81;81;7,59043141597366
5670;1;1;1;10;2;61;91;91;5,84116948319464
5890;1;1;1;10;2;29;81;81;7,59043141597366
5914;1;1;1;10;1;79;81;81;30,3617256638947
5914;1;2;1;10;1;13;81;81;30,3617256638947
5914;1;3;1;10;1;8;81;81;30,3617256638947
5920;1;1;1;10;2;35;86;86;10,0017425062748
5920;1;2;1;10;1;18;86;86;10,0017425062748
5920;1;3;1;10;1;16;86;86;10,0017425062748
5920;1;4;1;10;1;14;86;86;10,0017425062748
5933;1;1;1;10;1;74;81;81;9,24226683507712
5933;1;2;1;10;2;70;81;81;9,24226683507712
5947;1;1;1;10;2;43;99;99;4,07711737757744
5947;1;2;1;10;1;13;99;99;4,07711737757744
5947;1;3;1;10;2;11;99;99;4,07711737757744
5949;1;1;1;10;1;33;86;86;10,6061139138706
5949;1;2;1;10;2;29;86;86;10,6061139138706
5949;1;3;1;10;2;14;86;86;10,6061139138706
5949;1;4;1;10;2;11;86;86;10,6061139138706
5949;1;5;1;10;2;2;86;86;10,6061139138706
6005;1;1;1;10;1;65;99;99;2,25659738151893
6005;1;2;1;10;2;46;99;99;2,25659738151893
6005;1;3;1;10;2;17;99;99;2,25659738151893
6005;1;4;1;10;1;11;99;99;2,25659738151893
6028;1;1;1;10;1;86;85;85;27,4911931743721
6028;1;2;1;10;2;88;85;85;27,4911931743721
6031;1;1;1;10;1;32;81;81;7,59043141597366
6031;1;2;1;10;1;59;81;81;7,59043141597366
6031;1;3;1;10;2;56;81;81;7,59043141597366
6063;1;1;1;10;1;64;85;85;27,4911931743721
6063;1;2;1;10;2;62;85;85;27,4911931743721
6111;1;1;1;10;1;59;86;86;7,18709878736665
6111;1;2;1;10;2;56;86;86;7,18709878736665
6111;1;3;1;10;1;25;86;86;7,18709878736665
6168;1;1;1;10;1;55;86;86;7,8760240336304
6168;1;2;1;10;2;33;86;86;7,8760240336304
6168;1;3;1;10;1;14;86;86;7,8760240336304
6168;1;4;1;10;2;13;86;86;7,8760240336304
6270;1;1;1;10;2;53;85;85;14,1661886907829
6270;2;1;2;10;2;25;85;85;14,1661886907829
6275;1;1;1;10;1;27;95;95;6,20333597669872
6313;1;1;1;10;1;44;95;95;53,9690229972789
6313;1;2;1;10;2;36;95;95;53,9690229972789
6313;1;3;1;10;2;10;95;95;53,9690229972789
6313;1;4;1;10;1;8;95;95;53,9690229972789
6313;1;5;1;10;2;3;95;95;53,9690229972789
6316;1;1;1;10;2;24;99;99;6,56030669541814
6316;1;2;1;10;1;36;99;99;6,56030669541814
6316;1;3;1;10;1;5;99;99;6,56030669541814
6316;1;4;1;10;2;3;99;99;6,56030669541814
6316;1;5;1;10;1;1;99;99;6,56030669541814
6357;1;1;1;10;2;80;85;85;25,3302945757127
6368;1;1;1;10;2;31;99;99;4,56428918050723
6368;1;2;1;10;1;8;99;99;4,56428918050723
6368;1;3;1;10;1;5;99;99;4,56428918050723
