DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;DPTO;AREA;DSI;FEX_C
104421;1;1;1;70;86;86;1;8,82456208483485
104421;1;2;1;70;86;86;1;8,82456208483485
104464;1;1;1;70;81;81;1;7,59043141597366
104504;1;2;1;70;97;97;1;1,58966084554411
104512;1;3;1;70;81;81;1;8,78953203639803
104740;1;3;1;70;91;91;1;5,87323546921887
104743;1;1;1;70;99;99;1;1,89549502356952
104883;1;2;1;70;85;85;1;19,718624976735
105057;1;3;1;70;85;85;1;26,8045547565768
105057;1;4;1;70;85;85;1;26,8045547565768
105311;1;1;1;70;85;85;1;16,5525026147952
105320;1;1;1;70;85;85;1;22,538742877439
105538;1;1;1;70;85;85;1;17,1474973604161
105538;1;2;1;70;85;85;1;17,1474973604161
105808;1;4;1;70;95;95;1;5,79877058691403
105863;1;1;1;70;81;81;1;7,59043141597366
105972;1;1;1;70;95;95;1;5,79877058691403
106087;1;2;1;70;86;86;1;13,0946751560548
106087;1;3;1;70;86;86;1;13,0946751560548
106087;1;7;1;70;86;86;1;13,0946751560548
106092;1;1;1;70;86;86;1;10,3258547301836
106198;1;1;1;70;85;85;1;27,2205267464519
106215;1;2;1;70;85;85;1;31,0584229972117
106462;1;2;1;70;99;99;1;4,12378763550715
106468;1;1;1;70;95;95;1;5,79877058691403
106468;1;3;1;70;95;95;1;5,79877058691403
106551;1;1;1;70;99;99;1;2,88599848570028
106556;1;3;1;70;85;85;1;20,3342567397438
106643;1;1;1;70;99;99;1;3,37287757343604
106682;1;1;1;70;91;91;1;6,05485851686624
106728;1;1;1;70;85;85;1;22,7767984774985
106728;1;2;1;70;85;85;1;22,7767984774985
106844;1;1;1;70;81;81;1;8,26102854518365
106884;1;1;1;70;95;95;1;5,79877058691403
106884;1;2;1;70;95;95;1;5,79877058691403
107100;1;1;1;70;95;95;1;5,79877058691403
107104;1;3;1;70;95;95;1;5,79877058691403
107104;1;4;1;70;95;95;1;5,79877058691403
