DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;DPTO;P6430S1;P6500;P6750;P6760;P6800;P6850;P6830;P6830S1;AREA;OCI;FEX_C;P6430;RAMA4D_R4;OFICIO;RAMA2D_R4
4932;1;1;1;60;91; ;98; ; ;48;0;5; ;91;1;7,41328859130897;3;9700;54;97
4940;1;1;1;60;94; ; ;99;1;56;0;5; ;94;1;3,76867596268317;4;4711;41;47
4941;1;1;1;60;97; ;1800000; ; ;40;0;5; ;97;1;2,1730585450172;2;8413;39;84
4941;1;2;1;60;97; ;1500000; ; ;40;0;5; ;97;1;2,1730585450172;2;8413;39;84
4941;1;4;1;60;97; ;877000; ; ;58;30;5; ;97;1;2,1730585450172;1;4631;33;46
4952;1;1;1;60;94; ; ;450000;1;30;6;6; ;94;1;3,08400209389677;4;4923;98;49
4975;1;1;1;60;85; ; ;1450000;1;48;48; ; ;85;1;19,4311987217161;4;8610;59;86
4979;1;1;1;60;97; ;5200000; ; ;40;0;5; ;97;1;1,58966084554411;2;8551;13;85
4998;1;1;1;60;94; ; ;98;1;40;8;6; ;94;1;1,66529338327078;4;9511;03;95
5001;1;2;1;60;91; ;98; ; ;48;0;5; ;91;1;7,97246413449643;2;8530;13;85
5026;1;2;1;60;94; ; ;98;1;20;20; ; ;94;1;4,33417215338944;4;4111;95;41
5040;1;1;1;60;94; ;890000; ; ;40;0;5; ;94;1;2,8832656958164;2;8413;39;84
5059;1;1;1;60;91; ; ;98;1;20;20; ; ;91;1;6,56380836319789;4;5224;97;52
5059;1;4;1;60;91; ; ;100000;1;10;10; ; ;91;1;6,56380836319789;4;5224;97;52
5081;1;2;1;60;91; ; ;98;1;36;0;5; ;91;1;6,77663808568771;4;8121;55;81
5106;1;1;1;60;94; ;98; ; ;40;0;5; ;94;1;2,8832656958164;2;8413;19;84
5108;1;1;1;60;91; ;99; ; ;40;40; ; ;91;1;7,49216685507685;2;8422;33;84
5108;1;2;1;60;91; ; ;98;1;40;0;5; ;91;1;7,49216685507685;4;8530;19;85
5119;1;1;1;60;94; ; ;98;1;70;0;6; ;94;1;1,91508739076139;4;5022;98;50
5138;1;2;1;60;91; ; ;98;1;48;0;5; ;91;1;5,92777720177922;4;4111;95;41
5149;1;1;1;60;91; ; ;400000;1;42;42; ; ;91;1;7,48092157121654;5;4711;41;47
5149;1;2;1;60;91; ;980657; ; ;48;0;7;CESO ACTIVIDADES DEBIDO AL COVID-19;91;1;7,48092157121654;2;3811;99;38
5157;1;1;1;60;94; ; ;99;1;45;20;6; ;94;1;1,91508739076139;5;4711;41;47
5157;1;2;1;60;94; ; ;99;1;40;40; ; ;94;1;1,91508739076139;4;8413;21;84
5157;1;3;1;60;94; ;99; ; ;77;77; ; ;94;1;1,91508739076139;2;8423;58;84
5157;1;4;1;60;94; ;99; ; ;28;14;6; ;94;1;1,91508739076139;1;4711;45;47
5166;1;1;1;60;91; ; ;98;1;56;0;6; ;91;1;6,69797633095473;5;5611;53;56
5181;1;1;1;60;94; ;890000; ; ;40;40; ; ;94;1;1,24897003745308;1;9491;14;94
5183;1;2;1;60;91; ;898651; ; ;70;0;7;CESO ACTIVIDADES DEBIDO AL COVID-19;91;1;8,67310182316789;1;7911;59;79
5199;1;2;1;60;94; ; ;98;1;60;0;6; ;94;1;2,14871999169823;4;5619;45;56
5236;1;1;1;60;94; ;600000; ; ;40;0;6; ;94;1;2,71201866922649;1;0141;55;01
5237;1;4;1;60;94; ;99; ; ;40;0;7;AISLAMIENTO POR COVID-19;94;1;3,81678420471448;2;8413;55;84
5278;1;4;1;60;94; ;2000000; ; ;60;60; ; ;94;1;1,31449311031894;1;8610;07;86
5295;1;1;1;60;94; ; ;600000;1;52;0;6; ;94;1;3,14697436966648;4;4724;41;47
5303;1;2;1;60;94; ;890000; ; ;40;0;5; ;94;1;3,82123683998293;1;4541;45;45
5317;1;1;1;60;94; ; ;700000;1;30;0;5; ;94;1;3,91018157651395;4;5619;53;56
5317;1;2;1;60;94; ; ;350000;1;50;0;6; ;94;1;3,91018157651395;4;5619;77;56
5323;1;1;1;60;91; ;1086000; ; ;54;0;7;CESO ACTIVIDADES DEBIDO AL COVID-19;91;1;7,57647485813393;1;5511;53;55
5357;1;1;1;60;94; ;35000000; ; ;40;0;6; ;94;1;2,88307089951261;1;7010;30;70
5357;1;2;1;60;94; ; ;300000;1;36;0;5; ;94;1;2,88307089951261;4;9601;56;96
5434;1;1;1;60;91; ; ;900000;1;40;1;6; ;91;1;6,34836897275029;4;4921;98;49
5434;1;2;1;60;91; ;14000000; ; ;40;40; ; ;91;1;6,34836897275029;2;8413;39;84
5522;1;1;1;60;91; ;1800000; ; ;40;0;3; ;91;1;5,68975561051693;2;8413;13;84
5522;1;2;1;60;91; ;1450000; ; ;35;0;7;Personales;91;1;5,68975561051693;2;8530;13;85
5524;1;1;1;60;91; ; ;2600000;1;31;0;3; ;91;1;7,15574188356919;4;8692;19;86
5544;1;1;1;60;85; ;1200000; ; ;48;48; ; ;85;1;33,1220098430535;1;3600;58;36
5544;1;3;1;60;85; ; ;500000;1;60;0;7;AISLAMIENTO OBLIGATORIO;85;1;33,1220098430535;4;1630;95;16
5581;1;1;1;60;85; ; ;700000;1;40;0;7;AISLAMIENTO OBLIGATORIO *;85;1;37,1474414309781;4;4542;21;45
