DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;DPTO;AREA;INI;FEX_C
10292;1;2;1;80;91;91;1;7,9085479257075
10322;1;1;1;80;81;81;1;11,92782079653
10330;1;1;1;80;81;81;1;14,5235621694069
10330;1;2;1;80;81;81;1;14,5235621694069
10350;1;1;1;80;94;94;1;1,94743434577984
10350;1;2;1;80;94;94;1;1,94743434577984
10350;1;3;1;80;94;94;1;1,94743434577984
10382;1;4;1;80;81;81;1;31,6257792483678
10427;1;1;1;80;81;81;1;16,0003374721569
10427;1;3;1;80;81;81;1;16,0003374721569
10487;1;1;1;80;81;81;1;7,59043141597366
10487;1;2;1;80;81;81;1;7,59043141597366
10487;1;3;1;80;81;81;1;7,59043141597366
10487;1;4;1;80;81;81;1;7,59043141597366
10521;1;1;1;80;81;81;1;11,6853757113359
10594;1;1;1;80;85;85;1;30,5149462561552
10594;1;5;1;80;85;85;1;30,5149462561552
10594;1;6;1;80;85;85;1;30,5149462561552
10610;1;1;1;80;95;95;1;5,79877058691403
10610;1;3;1;80;95;95;1;5,79877058691403
10773;1;1;1;80;81;81;1;11,7626375723571
10807;1;2;1;80;86;86;1;4,49391043082142
10822;1;1;1;80;81;81;1;7,59043141597366
10822;1;2;1;80;81;81;1;7,59043141597366
10822;1;3;1;80;81;81;1;7,59043141597366
10838;1;1;1;80;86;86;1;8,68572842914156
10922;1;2;1;80;81;81;1;9,3764152785557
10947;1;1;1;80;81;81;1;7,59043141597366
10983;1;1;1;80;81;81;1;7,59043141597366
10983;1;2;1;80;81;81;1;7,59043141597366
10983;1;3;1;80;81;81;1;7,59043141597366
10985;1;1;1;80;81;81;1;26,2374176168566
10985;1;3;1;80;81;81;1;26,2374176168566
10985;1;4;1;80;81;81;1;26,2374176168566
11001;1;1;1;80;81;81;1;21,0717200076637
11001;1;3;1;80;81;81;1;21,0717200076637
11010;1;2;1;80;86;86;1;7,95513273077118
11010;1;3;1;80;86;86;1;7,95513273077118
11234;1;4;1;80;85;85;1;27,2086768021356
11234;1;5;1;80;85;85;1;27,2086768021356
11266;1;2;1;80;81;81;1;21,6900188055127
11295;1;1;1;80;81;81;1;18,2822035709169
11322;1;1;1;80;81;81;1;18,5629819900168
11322;1;2;1;80;81;81;1;18,5629819900168
11322;1;3;1;80;81;81;1;18,5629819900168
