DIRECTORIO;AREA;ocupados;sexo;estudia;edad;educación
4903844;13;0;0;1;14;4
4903844;13;1;0;0;28;4
4903844;13;0;0;;0;
4903845;13;1;0;0;37;5
4903845;13;0;1;1;7;3
4903845;13;0;1;1;3;2
4903846;13;1;1;0;50;3
4903846;13;0;1;0;38;5
4903967;17;0;0;0;27;3
4903967;17;1;0;0;21;5
4903967;17;0;1;0;63;3
4903968;17;1;0;0;41;6
4903968;17;0;0;1;13;4
4903968;17;0;1;0;46;3
4903969;17;1;0;0;43;5
4903969;17;0;1;1;19;5
4903969;17;0;1;1;16;4
4903969;17;1;1;1;12;4
4903969;17;0;1;0;53;5
4903970;17;0;0;0;51;3
4903970;17;0;0;0;31;5
4903971;17;1;0;1;12;4
4903971;17;0;1;1;4;2
4903972;17;1;0;0;33;5
4903972;17;0;1;0;16;3
4903973;17;1;0;0;49;6
4903973;17;0;1;1;19;6
4903974;17;1;1;1;18;6
4903974;17;0;1;0;48;6
4903975;17;0;0;0;46;6
4903975;17;0;0;1;9;3
4903976;17;1;1;1;5;2
4903977;17;1;0;0;42;5
4903978;17;0;1;0;47;5
4903978;17;0;0;0;65;5
4903979;17;0;1;0;33;6
4903979;17;0;1;0;60;6
4903980;17;1;0;0;65;6
4903980;17;1;1;0;30;6
4903981;17;1;0;0;34;6
4903981;17;1;0;1;11;4
4903981;17;0;0;0;73;3
4903981;17;0;0;0;41;6
4903982;17;1;0;0;48;6
4903982;17;0;1;0;44;6
4903982;17;0;0;1;11;4
4903982;17;0;1;0;65;3
4903983;17;1;0;0;51;1
4903985;17;0;1;0;32;4
4903985;17;0;0;0;34;5
4903985;17;0;0;1;17;5
4903985;17;1;0;1;14;4
4903985;17;1;0;0;54;6
4903986;17;1;1;0;28;4
4903986;17;1;1;0;26;5
4903987;17;1;0;0;33;5
4903987;17;0;1;0;25;4
4903987;17;0;0;0;25;4
4903988;17;1;1;1;5;2
4903988;17;1;0;0;3;1
4903988;17;0;1;0;55;5
4903989;17;0;0;0;63;5
4903989;17;0;0;1;21;6
4903989;17;1;0;1;15;4
4903989;17;0;0;0;56;1
4903989;17;1;0;1;19;6
4903990;17;1;1;1;16;5
4903990;17;1;0;0;60;4
4903990;17;0;1;0;33;5
4903990;17;1;0;1;18;5
4903991;17;1;0;0;59;5
4903991;17;0;1;0;55;5
4903991;17;0;0;0;49;5
4903992;17;1;1;0;27;6
4903992;17;0;1;0;26;6
4903993;17;1;1;1;14;4
4903993;17;0;1;0;23;6
4903993;17;1;0;0;61;3
4903994;17;0;1;0;26;6
4903994;17;1;0;0;69;3
4903994;17;1;1;0;72;4
4903994;17;0;0;0;25;6
4903994;17;1;1;0;35;6
4903994;17;1;0;0;35;6
4903995;17;1;1;0;18;5
4903995;17;1;0;1;6;3
